;author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground;residential_complex
0;Константин Кудрявцев;realtor;https://www.cian.ru/sale/flat/283849683/;Москва_и_др.;sale;flat;1;5;1;12.0;291666;3500000;-1;-1.0;-1.0;79660408670;Текстильщики;Шкулева;Волжская;
1;White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/280986757/;Москва_и_др.;sale;flat;17;41;1;40.4;618811;25000000;2021;15.2;9.1;79646331510;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
2;Времена года;real_estate_agent;https://www.cian.ru/sale/flat/286530258/;Москва_и_др.;sale;flat;5;14;1;61.97;919799;57000000;2022;-1.0;-1.0;79152007823;Хамовники;Усачева;Спортивная;Садовые кварталы
3;White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/283638079/;Москва_и_др.;sale;flat;9;41;1;40.5;617283;25000000;2022;17.3;9.3;79646331510;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
4;ID 44396977;realtor;https://www.cian.ru/sale/flat/287127196/;Москва_и_др.;sale;flat;12;17;1;47.6;324579;15450000;2019;-1.0;10.0;79034356129;Нагатино-Садовники;Нагатинская набережная;Коломенская;
5;Времена года;real_estate_agent;https://www.cian.ru/sale/flat/285378586/;Москва_и_др.;sale;flat;6;13;1;71.1;983122;69900000;2019;37.1;12.8;79152007823;Хамовники;Усачева;Спортивная;Садовые кварталы
6;ИТКОЛ;official_representative;https://www.cian.ru/sale/flat/287529888/;Москва_и_др.;sale;flat;7;9;1;18.0;382000;6876000;-1;-1.0;-1.0;79651098418;Аэропорт;Большой Коптевский проезд;Красный Балтиец;
7;Century 21 Premium Property;real_estate_agent;https://www.cian.ru/sale/flat/287489122/;Москва_и_др.;sale;flat;33;36;1;75.0;626666;47000000;2020;35.0;20.0;79175213146;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
8;СТРОЙИНВЕСТ;real_estate_agent;https://balashikha.cian.ru/sale/flat/281454196/;Москва_и_др.;sale;flat;9;17;1;37.2;147072;5471080;2022;-1.0;-1.0;79647297235;;;Лухмановская;
9;Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/286402225/;Москва_и_др.;sale;flat;6;41;1;41.0;724390;29700000;2022;24.0;6.0;79165694109;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
10;NF Group - ex-Knight Frank Russia;real_estate_agent;https://www.cian.ru/sale/flat/283655536/;Москва_и_др.;sale;flat;16;21;1;48.0;602708;28930000;2015;-1.0;7.0;79645387428;Раменки;Мосфильмовская;Раменки;Мосфильмовский
11;Эльвира Чижикова;realtor;https://www.cian.ru/sale/flat/286844698/;Москва_и_др.;sale;flat;5;9;1;32.0;404687;12950000;1963;22.0;6.0;79660470958;Зюзино;Малая Юшуньская;Каховская;
12;СТРОЙИНВЕСТ;real_estate_agent;https://www.cian.ru/sale/flat/279825134/;Москва_и_др.;sale;flat;15;21;1;46.4;256465;11900000;-1;35.0;-1.0;79160767966;Черемушки;Нахимовский проспект;Зюзино;Апарт-комплекс Нахимов
13;Дарья Румянцева;realtor;https://www.cian.ru/sale/flat/287613785/;Москва_и_др.;sale;flat;12;26;1;42.0;402380;16900000;2014;-1.0;-1.0;79623638743;Хорошево-Мневники;Народного Ополчения;Октябрьское поле;
14;ID 18044580;realtor;https://www.cian.ru/sale/flat/287715516/;Москва_и_др.;sale;flat;18;18;1;34.0;300000;10200000;2023;15.0;12.0;79154444044;Останкинский;Березовая аллея;Ботанический сад;Апарт-комплекс Легендарный квартал
15;ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/286193432/;Москва_и_др.;sale;flat;24;24;1;32.0;650000;20800000;2020;-1.0;-1.0;79096653243;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;Сердце Столицы
16;ID 12564578;homeowner;https://www.cian.ru/sale/flat/273314840/;Москва_и_др.;sale;flat;9;9;1;31.2;365384;11400000;1961;18.9;5.8;79175775437;Даниловский;Дербеневская набережная;Павелецкая;
