city,price_for_meter
Москва,774967.11
Химки,213347.12
Реутов,220813.31
Королёв,161354.65
Красногорск,256517.83
Мытищи,184666.48
Долгопрудный,207806.8
Одинцово,208599.13
Балашиха,153549.04
Люберцы,185317.71
Видное,179291.46
Кубинка,136734.69
Ликино-Дулёво,92165.9
Дзержинский,159550.01
Лобня,154603.94
Щёлково,140596.71
Раменское,133650.89
Воскресенск,99474.69
Домодедово,160624.36
Истра,144274.79
Чехов,125442.06
Электросталь,124592.54
Подольск,148430.59
Егорьевск,110778.44
Шатура,104974.09
Жуковский,145723.56
Лыткарино,128389.17
Ивантеевка,157506.7
Пушкино,155997.34
Котельники,186155.75
Солнечногорск,151875.0
Дмитров,111468.69
Клин,101054.96
Орехово-Зуево,72769.95
Старая Купавна,104139.07
Электроугли,109375.0
Наро-Фоминск,117385.79
Звенигород,106071.43
Можайск,95604.4
Краснознаменск,181443.93
Серпухов,103509.82
