city,price_for_meter
Москва,745940.22
Голицыно,637505.74
Одинцово,245801.99
Красногорск,232852.05
Реутов,220745.16
Долгопрудный,210442.5
Химки,209313.13
Мытищи,192722.76
Люберцы,188296.36
Котельники,186585.61
Краснознаменск,181443.93
Видное,179994.67
Дубна,170711.19
Королёв,163639.37
Пушкино,162719.49
Истра,160277.89
Дзержинский,159485.5
Домодедово,158278.79
Балашиха,156371.59
Лобня,154028.25
Подольск,148517.89
Жуковский,145723.56
Сергиев Посад,141475.61
Щёлково,140842.36
Наро-Фоминск,137304.86
Солнечногорск,134707.82
Звенигород,133179.13
Ступино,131641.25
Лыткарино,129392.17
Ивантеевка,127749.06
Раменское,123921.01
Электросталь,118906.96
Чехов,116565.01
Коломна,115679.67
Клин,114485.74
Дмитров,113044.48
Кубинка,112511.47
Ногинск,111934.09
Электроугли,110690.63
Пущино,110608.86
Можайск,109606.92
Руза,109118.28
Бронницы,108392.43
Серпухов,108257.04
Лосино-Петровский,106377.71
Старая Купавна,104139.07
Волоколамск,104091.0
Яхрома,102531.17
Луховицы,98733.74
Воскресенск,97135.95
Орехово-Зуево,96854.79
Шатура,90650.93
Егорьевск,88983.63
Талдом,86009.41
Кашира,82003.58
Ликино-Дулёво,78863.16
Озёры,51107.33
,
