year_of_construction,count
2023,548
2024,503
2022,365
2021,272
2014,271
2016,231
2017,216
2015,207
2019,206
2018,198
2020,173
2013,169
2012,151
2008,143
2011,138
2007,129
2009,126
2010,116
1970,92
2003,90
2005,89
2006,89
1969,83
1974,83
1968,82
2004,80
1967,78
1978,77
1971,76
1972,75
1973,73
1966,72
1964,72
1975,71
1976,67
1980,66
1965,65
2002,65
1999,65
1962,65
1977,64
1963,59
2001,58
1982,56
1988,56
2000,53
1979,53
1960,51
1986,51
1961,50
1987,49
1959,43
1984,41
1998,41
1985,40
1983,38
1981,36
1990,35
1958,35
1994,34
1992,32
1997,32
1995,32
1993,31
1989,30
1991,28
1996,26
1957,26
1956,25
1917,23
1952,22
1953,21
1954,15
1951,10
1938,9
1900,9
1931,7
1955,7
1950,6
1935,6
1910,5
1930,4
1949,4
1912,4
1940,4
1943,3
1927,3
1929,3
1939,3
1928,3
1914,3
1937,3
1926,3
1902,3
1934,3
1932,3
1933,2
1941,2
1911,2
1948,2
1876,2
1903,2
1945,2
1905,2
1936,2
1915,1
1901,1
1913,1
1890,1
1906,1
1893,1
1920,1
1942,1
1908,1
